dataset,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
syn_E2_w50_50,knn,0.9700000000000001,0.9700248561858252,0.9758428580785143,0.9641614045895579,0.9699704537486546,0.004409585518440992,0.004391101582459027,0.0034969086319114272,0.009810811685607247,0.004548087695834596
syn_E2_w50_50,svm_rbf,0.9786666666666667,0.9786561292769814,0.9769667741159914,0.9807572990693274,0.9788455894335165,0.008449194570424378,0.008466372393295585,0.012349070562193793,0.0075706982878076005,0.008324339419952823
syn_E2_w50_50,mlp,0.968,0.9679880884404748,0.9663691735948003,0.9701392708631273,0.968244780471324,0.006912147117775925,0.006932539513418486,0.010757669014501297,0.0033172065559908597,0.006720237018053049
syn_E2_w50_50,logreg,0.8506666666666666,0.850674229926021,0.8529385558386192,0.8493608501463115,0.8511314937178851,0.014023789311975097,0.014044463219308495,0.01843551285937282,0.009142228001062834,0.013281795846657703
syn_E2_w50_50,rf,0.9536666666666667,0.9536577735041292,0.9536221096523498,0.954205628038987,0.9538907205198601,0.005451809077932044,0.0054307152557758,0.004730334872757932,0.012327636845467215,0.005715200528685789
syn_E2_w70_30,knn,0.951,0.9344176876788065,0.9421209605647917,0.8926949048496009,0.9169136587753931,0.007509253550712531,0.012346957610235569,0.01781428019262895,0.027533443078349623,0.013391533806693766
syn_E2_w70_30,svm_rbf,0.9560000000000001,0.9386319923346388,0.9564969423763156,0.8949171270718231,0.9251444374242848,0.004944132324730466,0.006050673650891565,0.014788919895054107,0.012294524681282778,0.008277694177392339
syn_E2_w70_30,mlp,0.9536666666666666,0.9416678921114634,0.9336044573087097,0.9114855739717618,0.9224095661886199,0.007397447007057387,0.007294356710720924,0.021667039919016452,0.011927256455241467,0.011974439070515545
syn_E2_w70_30,logreg,0.781,0.7007666376369154,0.6894121965638994,0.4988704726826274,0.5862950665036766,0.0073219608788295835,0.006552356367793384,0.023878762864241322,0.014345845106041963,0.010797810192867083
syn_E2_w70_30,rf,0.8993333333333332,0.8464848487512289,0.9382998897861297,0.7134868017188459,0.8177581329034685,0.012053123154509678,0.020703411247854606,0.022009451638635297,0.044506528222150094,0.02467447212239781
syn_E2_w90_10,knn,0.9570000000000001,0.7960952266744327,0.9882352941176471,0.5929339477726574,0.7644540092256336,0.008850612031567843,0.03871739684437726,0.02630668208823283,0.07648936715528952,0.05558674852935742
syn_E2_w90_10,svm_rbf,0.9726666666666667,0.872765125726743,0.9872227151730257,0.7466461853558627,0.8581647551850574,0.005962847939999434,0.02641830056841757,0.019303867866034132,0.05229180885242651,0.03388426930247277
syn_E2_w90_10,mlp,0.9719999999999999,0.8881149214384179,0.9396919760812125,0.7821812596006144,0.8564343745951233,0.005451809077932026,0.033069483728460115,0.019646506493205252,0.06812860099100328,0.030998694136143937
syn_E2_w90_10,logreg,0.943,0.7473634289417433,0.9110009076944561,0.5003072196620584,0.6743047760328664,0.00877179824462717,0.0348410563610096,0.0433953894805251,0.06832961729704648,0.05693721085046866
syn_E2_w90_10,rf,0.9423333333333334,0.725665119147551,0.9860576923076924,0.45207373271889406,0.6653687623838138,0.008628119403696503,0.0404913975296957,0.0192607938692405,0.08097110636093394,0.0625640251064974
syn_E2_w95_5,knn,0.9676666666666668,0.6949596774193548,1.0,0.3899193548387097,0.6218715517619211,0.004183300132670397,0.03907046614921641,0.0,0.07814093229843282,0.06319738867162406
syn_E2_w95_5,svm_rbf,0.9793333333333333,0.8048387096774194,1.0,0.6096774193548387,0.7783228952296138,0.005845225972250028,0.05568746748178031,0.0,0.11137493496356062,0.06973960600181141
syn_E2_w95_5,mlp,0.982,0.8597323003443872,0.9208254788689573,0.7229838709677419,0.8147150425381066,0.004314059701848254,0.04233737513225788,0.03670428563065163,0.08509163283277484,0.05030182160120833
syn_E2_w95_5,logreg,0.9606666666666668,0.6825189450952555,0.773050414497783,0.3713709677419355,0.5292086891066923,0.006728876412728757,0.05994022654764915,0.1135519289409684,0.1209774021680404,0.11160192781433648
syn_E2_w95_5,rf,0.959,0.6134072580645161,1.0,0.22681451612903225,0.47042123325750157,0.004346134936801775,0.03820351726136532,0.0,0.07640703452273064,0.08305404437415698
breast_cancer,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479
breast_cancer,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662
breast_cancer,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793
breast_cancer,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797
breast_cancer,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622
iris,knn,0.9733333333333334,0.9733333333333333,0.9745454545454546,0.9733333333333333,0.9739389197132772,0.027888667551135848,0.027888667551135886,0.027574092523823854,0.027888667551135886,0.027719529204417993
iris,svm_rbf,0.96,0.96,0.9610774410774411,0.96,0.9605383293221357,0.04346134936801765,0.04346134936801766,0.04278453178991786,0.04346134936801766,0.04311800703088845
iris,mlp,0.9466666666666667,0.9466666666666667,0.948956228956229,0.9466666666666667,0.9478100007369438,0.06055300708194982,0.06055300708194982,0.05835979450460587,0.06055300708194982,0.05945502159985772
iris,logreg,0.9533333333333334,0.9533333333333334,0.9548821548821549,0.9533333333333334,0.9541071987876327,0.05055250296034366,0.05055250296034366,0.04951899367877964,0.05055250296034366,0.05003355804918705
iris,rf,0.9600000000000002,0.96,0.9632996632996633,0.96,0.9616461530934922,0.04346134936801765,0.04346134936801766,0.04124407335115521,0.04346134936801766,0.042307836682079644
